text_key,scene_usage,text_type,display_policy,english_master,nederlands,chinese,v4_status,notes
act02.019,ACT 2 — First Contact,static,bilingual,The voice in my dream said the Snake King in the Chapel was very angry.,De stem in mijn droom zei dat de Slangenkoning in de kapel heel kwaad was.,梦里的声音说，礼拜堂里的蛇王非常生气。,REUSED_REVIEWED,
act02.020,ACT 2 — First Contact,static,bilingual,I saw a shadow move at the end of the corridor.,Ik zag aan het einde van de gang een schaduw bewegen.,我看到走廊尽头有一个影子在移动。,REUSED_REVIEWED,
act02.021,ACT 2 — First Contact,static,bilingual,"Warm air came through the vent, with a faint scraping sound.","Er kwam warme lucht door het ventilatierooster, met een zacht schurend geluid.",暖空气从通风口吹进来，还伴随着轻微的摩擦声。,REUSED_REVIEWED,
act02.022,ACT 2 — First Contact,static,bilingual,You grab what you can and leave the room.,Je grijpt wat je kunt meenemen en verlaat de kamer.,你拿上能带走的东西，离开了房间。,REUSED_REVIEWED,
act02.023,ACT 2 — First Contact,static,bilingual,Moving through the castle...,Door het kasteel bewegen...,正在穿过城堡……,REUSED_REVIEWED,
act02.024,ACT 2 — First Contact,static,bilingual,SIGNAL RESTORED,SIGNAAL HERSTELD,信号已恢复,REUSED_REVIEWED,
act02.025,ACT 2 — First Contact,static,bilingual,THREE DEVICES CONNECTED,DRIE APPARATEN VERBONDEN,三台设备已连接,REUSED_REVIEWED,
act02.026,ACT 2 — First Contact,static,bilingual,You do not all know the same things.,Jullie weten niet allemaal hetzelfde.,你们三个人掌握的信息并不相同。,REUSED_REVIEWED,
act02.027,ACT 2 — First Contact,static,bilingual,Share what you know. Question what you hear.,Deel wat je weet. Stel vragen bij wat je hoort.,分享你知道的信息。对你听到的内容提出质疑。,REUSED_REVIEWED,
act02.028,ACT 2 — First Contact,static,bilingual,Choose where to meet before the Snake King chooses for you.,Kies waar jullie afspreken voordat de Slangenkoning voor jullie kiest.,在蛇王替你们做决定之前，选好会合地点。,REUSED_REVIEWED,
act02.029,ACT 2 — First Contact,static,bilingual,You can only communicate by phone message.,Jullie kunnen alleen via berichten op de telefoon communiceren.,你们只能通过手机消息交流。,REUSED_REVIEWED,
act02.030,ACT 2 — First Contact,static,bilingual,[SHARE PHOTO],[FOTO DELEN],[分享照片],REUSED_REVIEWED,
act02.031,ACT 2 — First Contact,static,bilingual,150 seconds,150 seconden,150秒,REUSED_REVIEWED,
act02.032,ACT 2 — First Contact,template,bilingual,MEETING POINT UPDATED: {location},AFSPREEKPUNT BIJGEWERKT: {location},会合地点已更新：{location},UPDATED_V4,Runtime template; location value must already be localized.
act02.033,ACT 2 — First Contact,static,bilingual,Change course now.,Verander nu van route.,现在改变路线。,REUSED_REVIEWED,
act02.034,ACT 2 — First Contact,static,bilingual,No consensus. One final 30-second discussion.,Geen consensus. Nog één laatste bespreking van 30 seconden.,没有达成一致。最后再讨论30秒。,REUSED_REVIEWED,
act02.035,ACT 2 — First Contact,static,bilingual,UNKNOWN SENDER:,ONBEKENDE AFZENDER:,未知发送者：,REUSED_REVIEWED,
act02.036,ACT 2 — First Contact,static,bilingual,Three girls. Three answers. How disappointing.,Drie meisjes. Drie antwoorden. Wat teleurstellend.,三个女孩。三个答案。真令人失望。,REUSED_REVIEWED,
act02.037,ACT 2 — First Contact,static,bilingual,Go to the Library. Try not to die on the way.,Ga naar de Bibliotheek. Probeer onderweg niet dood te gaan.,去图书馆。路上尽量别死。,REUSED_REVIEWED,
act02.038,ACT 2 — First Contact,static,bilingual,You reach an iron access gate.,Je bereikt een ijzeren toegangspoort.,你们来到一道铁制通行门前。,REUSED_REVIEWED,
act02.039,ACT 2 — First Contact,static,bilingual,It is locked from the other side.,Ze is aan de andere kant vergrendeld.,门从另一侧锁住了。,REUSED_REVIEWED,
act02.040,ACT 2 — First Contact,static,bilingual,"Beyond it, a worn brass sign points toward the Library.",Daarachter wijst een versleten koperen bord richting de Bibliotheek.,门后，一块磨损的黄铜指示牌指向图书馆。,REUSED_REVIEWED,
act02.041,ACT 2 — First Contact,static,bilingual,RENDEZVOUS POINT UNREACHABLE,AFSPREEKPUNT ONBEREIKBAAR,无法到达会合地点,REUSED_REVIEWED,
act02.042,ACT 2 — First Contact,static,bilingual,FOLLOW THE LIBRARY SIGNS.,VOLG DE BORDEN NAAR DE BIBLIOTHEEK.,跟随图书馆指示牌。,REUSED_REVIEWED,
act02.043,ACT 2 — First Contact,static,bilingual,The stone floor ahead seems to move.,De stenen vloer voor je lijkt te bewegen.,前方的石地面似乎在动。,REUSED_REVIEWED,
act02.044,ACT 2 — First Contact,static,bilingual,Snakes slide out from cracks and block the corridor.,Slangen glijden uit de spleten en blokkeren de gang.,蛇从裂缝中滑出，堵住了走廊。,REUSED_REVIEWED,
act02.045,ACT 2 — First Contact,static,bilingual,You cannot reach the common entrance.,Je kunt de gezamenlijke ingang niet bereiken.,你们无法到达公共入口。,REUSED_REVIEWED,
act02.046,ACT 2 — First Contact,static,bilingual,A bricked stairway and an old municipal seal block the western access.,Een dichtgemetselde trap en een oud gemeentelijk zegel blokkeren de westelijke toegang.,一段被砖封的楼梯和一枚旧市政封条堵住了西侧入口。,REUSED_REVIEWED,
act02.047,ACT 2 — First Contact,static,bilingual,A surviving brass corridor sign points back toward the Library.,Een overgebleven koperen gangbord wijst terug naar de Bibliotheek.,一块残存的黄铜走廊指示牌指回图书馆。,REUSED_REVIEWED,
act02.048,ACT 2 — First Contact,static,bilingual,MUNICIPALITY OF LAARNE — ACCESS CLOSED,GEMEENTE LAARNE — TOEGANG GESLOTEN,拉尔讷市政府 — 入口关闭,REUSED_REVIEWED,
act02.049,ACT 2 — First Contact,static,bilingual,"A slow, wet scraping sound comes from behind the chapel doors.","Achter de deuren van de kapel klinkt een langzaam, nat schurend geluid.",礼拜堂门后传来缓慢、湿黏的摩擦声。,REUSED_REVIEWED,
act02.050,ACT 2 — First Contact,static,bilingual,The air smells damp and strangely sour.,De lucht ruikt vochtig en vreemd zuur.,空气潮湿，还带着一种奇怪的酸味。,REUSED_REVIEWED,
act02.051,ACT 2 — First Contact,static,bilingual,Something heavy moves across stone.,Iets zwaars beweegt over de stenen vloer.,有什么沉重的东西正从石地面上移动。,REUSED_REVIEWED,
act02.052,ACT 2 — First Contact,static,bilingual,Very angry...,Heel kwaad...,很生气……,REUSED_REVIEWED,
act02.053,ACT 2 — First Contact,static,bilingual,THIS ROUTE IS TOO DANGEROUS.,DEZE ROUTE IS TE GEVAARLIJK.,这条路线太危险。,REUSED_REVIEWED,
act03.001,ACT 3 — Library,static,bilingual,You see an old brass direction plaque:,Je ziet een oud koperen richtingbord:,你看到一块旧黄铜方向牌：,REUSED_REVIEWED,
act03.002,ACT 3 — Library,static,bilingual,LIBRARY →,BIBLIOTHEEK →,图书馆 →,REUSED_REVIEWED,
act03.003,ACT 3 — Library,static,bilingual,[FOLLOW SIGN],[VOLG HET BORD],[跟随指示牌],REUSED_REVIEWED,
act03.004,ACT 3 — Library,static,bilingual,"At last, the three of you reach the same room.",Eindelijk bereiken jullie alle drie dezelfde kamer.,终于，你们三个人来到了同一个房间。,REUSED_REVIEWED,
act03.005,ACT 3 — Library,static,bilingual,They can hear. Shut up or get caught.,"Ze kunnen jullie horen. Hou je stil, of ze krijgen je te pakken.",他们能听见。闭嘴，否则就会被抓住。,REUSED_REVIEWED,
act03.006,ACT 3 — Library,static,bilingual,GROUP FOUND ITEMS,GROEPSVONDSTEN,团队发现物品,REUSED_REVIEWED,
act03.007,ACT 3 — Library,static,bilingual,Gitte spreads the Castle Map across the table.,Gitte spreidt de kasteelkaart over de tafel uit.,Gitte把城堡地图铺在桌上。,REUSED_REVIEWED,
act03.008,ACT 3 — Library,static,bilingual,"WHAT WAS GIVEN FIRST
OPENS WHAT COMES NEXT.","WAT JE EERST KREEG
OPENT WAT HIERNA KOMT.","最先得到的东西
打开接下来之物。",REUSED_REVIEWED,
act03.009,ACT 3 — Library,static,bilingual,5-DIGIT LOCK,SLOT MET 5 CIJFERS,五位数字锁,REUSED_REVIEWED,
act03.010,ACT 3 — Library,static,bilingual,41739,41739,41739,REUSED_REVIEWED,
act03.011,ACT 3 — Library,static,bilingual,The box remains locked.,De kist blijft op slot.,盒子仍然锁着。,REUSED_REVIEWED,
act03.012,ACT 3 — Library,static,bilingual,Something one of you carried from the beginning may matter. Check your Pocket.,"Iets dat een van jullie vanaf het begin bij zich had, kan belangrijk zijn. Kijk in je inventaris.",你们中有人从一开始就带着的东西可能很重要。检查随身物品。,REUSED_REVIEWED,
act03.013,ACT 3 — Library,static,bilingual,Look for a five-number sequence.,Zoek naar een reeks van vijf cijfers.,寻找一个由五个数字组成的序列。,REUSED_REVIEWED,
act03.014,ACT 3 — Library,static,bilingual,One of the five wheels clicks into place.,Een van de vijf wieltjes klikt op zijn plaats.,五个转轮中的一个咔哒一声卡入正确位置。,REUSED_REVIEWED,
act03.015,ACT 3 — Library,static,bilingual,The lock releases with a dry click.,Het slot springt met een droge klik open.,锁发出一声干涩的咔哒声，打开了。,REUSED_REVIEWED,
act03.016,ACT 3 — Library,static,bilingual,"THE ROOM WHERE TIME STOPPED
REMEMBERS WHEN THE WATCH STOPPED.","DE KAMER WAAR DE TIJD STILSTOND
HERINNERT ZICH WANNEER HET HORLOGE STOPTE.","时间停止的房间
记得怀表停止的时刻。",REUSED_REVIEWED,
act04-05.001,ACT 4–5 — Known / Unknown Route,static,bilingual,Library → Main Hall → Portrait Hall,Bibliotheek → Hoofdhal → Portrettengalerij,图书馆 → 主厅 → 肖像长廊,REUSED_REVIEWED,
act04-05.002,ACT 4–5 — Known / Unknown Route,static,bilingual,This door is not shown on the Castle Map.,Deze deur staat niet op de kasteelkaart.,这扇门没有出现在城堡地图上。,REUSED_REVIEWED,
act04-05.003,ACT 4–5 — Known / Unknown Route,static,bilingual,The ★ matches the mark on your Silver Key.,De ★ komt overeen met het teken op je zilveren sleutel.,这个★和你银钥匙上的标记一致。,REUSED_REVIEWED,
act04-05.004,ACT 4–5 — Known / Unknown Route,static,bilingual,"You have a flashlight. Darkness is less of a problem, but the route is still unknown.","Je hebt een zaklamp. De duisternis is minder een probleem, maar de route blijft onbekend.",你有一只手电筒。黑暗不再是大问题，但这条路线仍然未知。,REUSED_REVIEWED,
act04-05.005,ACT 4–5 — Known / Unknown Route,static,bilingual,Take the known route now.,Neem nu de bekende route.,现在走已知路线。,REUSED_REVIEWED,
act04-05.006,ACT 4–5 — Known / Unknown Route,static,bilingual,Try the unknown passage now.,Probeer nu de onbekende doorgang.,现在尝试未知通道。,REUSED_REVIEWED,
act04-05.007,ACT 4–5 — Known / Unknown Route,static,bilingual,Inspect the unknown passage before deciding.,Bekijk de onbekende doorgang voordat je beslist.,先检查未知通道，再做决定。,REUSED_REVIEWED,
act04-05.008,ACT 4–5 — Known / Unknown Route,static,bilingual,Ask the others what they think before committing.,Vraag eerst wat de anderen denken voordat je beslist.,先问问其他人的想法，再决定。,REUSED_REVIEWED,
act04-05.009,ACT 4–5 — Known / Unknown Route,static,bilingual,Compare what you know before the route vote.,Vergelijk wat jullie weten vóór de stemming over de route.,在路线投票前，先比较你们掌握的信息。,REUSED_REVIEWED,
act04-05.010,ACT 4–5 — Known / Unknown Route,static,bilingual,Known Route,Bekende route,已知路线,REUSED_REVIEWED,
act04-05.011,ACT 4–5 — Known / Unknown Route,static,bilingual,Unknown Passage,Onbekende doorgang,未知通道,REUSED_REVIEWED,
